iter	Passed	Remaining
946	2196	122
947	2198	120
948	2200	118
949	2202	115
950	2204	113
951	2206	111
952	2208	108
953	2209	106
954	2211	104
955	2213	101
956	2215	99
957	2216	97
958	2219	94
959	2221	92
960	2223	90
961	2225	87
962	2227	85
963	2229	83
964	2232	80
965	2234	78
966	2236	76
967	2237	73
968	2239	71
969	2241	69
970	2243	66
971	2244	64
972	2247	62
973	2249	60
974	2251	57
975	2254	55
976	2256	53
977	2258	50
978	2260	48
979	2261	46
980	2263	43
981	2265	41
982	2267	39
983	2269	36
984	2270	34
985	2272	32
986	2274	29
987	2276	27
988	2278	25
989	2280	23
990	2281	20
991	2283	18
992	2285	16
993	2287	13
994	2289	11
995	2290	9
996	2293	6
997	2295	4
998	2297	2
999	2300	0
